id;name;code;teacher
1;Mozambique Sorprendente;Entrada Programable;acompasada Guantes
2;Bermuda Comunicaciones;Ingeniería Sorprendente Berkshire;Loan Algodón
3;Humano Amarillo capacitor;Canarias Plástico application;Global Programa División
4;payment Asturias;Global flexibilidad Rioja;firmware
5;wireless evolve;neural;Algodón
6;navigating;auxiliary parsing;Informática función direccional
7;Rincón;Tácticas escalable;solid
8;niches;Berkshire Investment;Madera proactive parse
9;Equilibrado Paseo eyeballs;discreta;Blanco THX functionalities
10;Rupee;Facilitador quantifying;Ariary repurpose la
